FICHIER :;c:\Users\TEMP.B110-P06-2021\Desktop\Captures\02_BD.eposacq
Date :;25/02/2023
Heure :;07:27:37

DESCRIPTION :
ACQUISITION AXE 3 : Enrouleur BD
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 25.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     33714;     33714;         0;
         1;      25,0;;     33714;     33714;         0;
         2;      50,0;;     33714;     33714;         0;
         3;      75,0;;     33714;     33714;         0;
         4;     100,0;;     33714;     33714;         0;
         5;     125,0;;     33714;     33714;         0;
         6;     150,0;;     33714;     33714;         0;
         7;     175,0;;     33714;     33714;         0;
         8;     200,0;;     33702;     33706;       -12;
         9;     225,0;;     33627;     33631;       -32;
        10;     250,0;;     33484;     33490;       -51;
        11;     275,0;;     33282;     33290;       -69;
        12;     300,0;;     33035;     33041;       -72;
        13;     325,0;;     32793;     32803;       -69;
        14;     350,0;;     32562;     32576;       -66;
        15;     375,0;;     32343;     32352;       -63;
        16;     400,0;;     32135;     32142;       -59;
        17;     425,0;;     31940;     31945;       -55;
        18;     450,0;;     31758;     31764;       -52;
        19;     475,0;;     31588;     31597;       -48;
        20;     500,0;;     31431;     31444;       -44;
        21;     525,0;;     31287;     31303;       -40;
        22;     550,0;;     31157;     31171;       -36;
        23;     575,0;;     31040;     31049;       -32;
        24;     600,0;;     30936;     30944;       -28;
        25;     625,0;;     30846;     30851;       -24;
        26;     650,0;;     30770;     30773;       -20;
        27;     675,0;;     30707;     30709;       -16;
        28;     700,0;;     30658;     30659;       -12;
        29;     725,0;;     30622;     30623;        -8;
        30;     750,0;;     30600;     30601;        -4;
        31;     775,0;;     30593;     30592;         0;
        32;     800,0;;     30599;     30592;         4;
        33;     825,0;;     30619;     30592;         8;
        34;     850,0;;     30654;     30592;        12;
        35;     875,0;;     30704;     30642;        17;
        36;     900,0;;     30768;     30706;        21;
        37;     925,0;;     30846;     30788;        25;
        38;     950,0;;     30937;     30890;        29;
        39;     975,0;;     31043;     31006;        33;
        40;    1000,0;;     31161;     31132;        37;
        41;    1025,0;;     31293;     31271;        40;
        42;    1050,0;;     31437;     31422;        44;
        43;    1075,0;;     31595;     31588;        48;
        44;    1100,0;;     31766;     31765;        52;
        45;    1125,0;;     31951;     31953;        56;
        46;    1150,0;;     32147;     32150;        59;
        47;    1175,0;;     32356;     32357;        63;
        48;    1200,0;;     32577;     32580;        66;
        49;    1225,0;;     32809;     32812;        70;
        50;    1250,0;;     33053;     33068;        73;
        51;    1275,0;;     33306;     33304;        76;
        52;    1300,0;;     33571;     33570;        79;
        53;    1325,0;;     33847;     33847;        83;
        54;    1350,0;;     34134;     34135;        86;
        55;    1375,0;;     34432;     34446;        89;
        56;    1400,0;;     34740;     34769;        92;
        57;    1425,0;;     35058;     35090;        95;
        58;    1450,0;;     35385;     35419;        97;
        59;    1475,0;;     35721;     35755;       100;
        60;    1500,0;;     36066;     36094;       102;
        61;    1525,0;;     36418;     36439;       104;
        62;    1550,0;;     36779;     36794;       107;
        63;    1575,0;;     37148;     37172;       109;
        64;    1600,0;;     37525;     37555;       112;
        65;    1625,0;;     37910;     37951;       114;
        66;    1650,0;;     38302;     38350;       116;
        67;    1675,0;;     38702;     38763;       118;
        68;    1700,0;;     39110;     39180;       120;
        69;    1725,0;;     39524;     39600;       122;
        70;    1750,0;;     39944;     40031;       120;
        71;    1775,0;;     40308;     40409;        91;
        72;    1800,0;;     40565;     40684;        60;
        73;    1825,0;;     40717;     40826;        29;
        74;    1850,0;;     40761;     40810;         0;
        75;    1875,0;;     40761;     40809;         0;
        76;    1900,0;;     40761;     40808;         0;
        77;    1925,0;;     40761;     40806;         0;
        78;    1950,0;;     40761;     40804;         0;
        79;    1975,0;;     40761;     40802;         0;
        80;    2000,0;;     40761;     40800;         0;
        81;    2025,0;;     40761;     40797;         0;
        82;    2050,0;;     40761;     40795;         0;
        83;    2075,0;;     40761;     40793;         0;
        84;    2100,0;;     40761;     40791;         0;

Paramètre AXE :;Enrouleur BD
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

