FICHIER :;c:\Users\TEMP.B110-P06-2021\Desktop\Captures\02_HG.eposacq
Date :;25/02/2023
Heure :;07:26:56

DESCRIPTION :
ACQUISITION AXE 2 : Enrouleur HG
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 25.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     40761;     40761;         0;
         1;      25,0;;     40761;     40761;         0;
         2;      50,0;;     40761;     40761;         0;
         3;      75,0;;     40761;     40761;         0;
         4;     100,0;;     40761;     40761;         0;
         5;     125,0;;     40761;     40761;         0;
         6;     150,0;;     40761;     40761;         0;
         7;     175,0;;     40761;     40761;         0;
         8;     200,0;;     40732;     40745;       -24;
         9;     225,0;;     40595;     40647;       -56;
        10;     250,0;;     40345;     40411;       -87;
        11;     275,0;;     39987;     40045;      -118;
        12;     300,0;;     39562;     39603;      -122;
        13;     325,0;;     39140;     39184;      -120;
        14;     350,0;;     38725;     38773;      -118;
        15;     375,0;;     38316;     38363;      -116;
        16;     400,0;;     37915;     37953;      -114;
        17;     425,0;;     37521;     37546;      -112;
        18;     450,0;;     37136;     37153;      -109;
        19;     475,0;;     36759;     36775;      -107;
        20;     500,0;;     36391;     36411;      -105;
        21;     525,0;;     36032;     36061;      -102;
        22;     550,0;;     35681;     35731;       -99;
        23;     575,0;;     35340;     35419;       -97;
        24;     600,0;;     35008;     35105;       -94;
        25;     625,0;;     34687;     34804;       -91;
        26;     650,0;;     34376;     34461;       -88;
        27;     675,0;;     34075;     34104;       -85;
        28;     700,0;;     33784;     33764;       -82;
        29;     725,0;;     33504;     33440;       -79;
        30;     750,0;;     33235;     33150;       -76;
        31;     775,0;;     32979;     32905;       -72;
        32;     800,0;;     32733;     32684;       -69;
        33;     825,0;;     32499;     32471;       -65;
        34;     850,0;;     32278;     32276;       -62;
        35;     875,0;;     32070;     32094;       -58;
        36;     900,0;;     31875;     31928;       -54;
        37;     925,0;;     31693;     31753;       -50;
        38;     950,0;;     31524;     31563;       -47;
        39;     975,0;;     31368;     31374;       -43;
        40;    1000,0;;     31227;     31213;       -39;
        41;    1025,0;;     31099;     31081;       -35;
        42;    1050,0;;     30986;     30971;       -31;
        43;    1075,0;;     30887;     30891;       -26;
        44;    1100,0;;     30802;     30819;       -22;
        45;    1125,0;;     30731;     30747;       -18;
        46;    1150,0;;     30675;     30688;       -14;
        47;    1175,0;;     30633;     30647;       -10;
        48;    1200,0;;     30606;     30613;        -6;
        49;    1225,0;;     30593;     30600;        -2;
        50;    1250,0;;     30595;     30599;         3;
        51;    1275,0;;     30612;     30599;         7;
        52;    1300,0;;     30644;     30599;        11;
        53;    1325,0;;     30690;     30599;        15;
        54;    1350,0;;     30750;     30607;        20;
        55;    1375,0;;     30826;     30642;        24;
        56;    1400,0;;     30915;     30731;        28;
        57;    1425,0;;     31019;     30864;        32;
        58;    1450,0;;     31137;     31024;        36;
        59;    1475,0;;     31269;     31193;        40;
        60;    1500,0;;     31416;     31373;        44;
        61;    1525,0;;     31575;     31559;        48;
        62;    1550,0;;     31748;     31743;        51;
        63;    1575,0;;     31934;     31939;        55;
        64;    1600,0;;     32132;     32143;        59;
        65;    1625,0;;     32342;     32358;        62;
        66;    1650,0;;     32565;     32581;        66;
        67;    1675,0;;     32800;     32825;        69;
        68;    1700,0;;     33047;     33081;        73;
        69;    1725,0;;     33298;     33339;        67;
        70;    1750,0;;     33501;     33557;        49;
        71;    1775,0;;     33638;     33697;        29;
        72;    1800,0;;     33706;     33770;         9;
        73;    1825,0;;     33714;     33779;         0;
        74;    1850,0;;     33714;     33780;         0;
        75;    1875,0;;     33714;     33780;         0;
        76;    1900,0;;     33714;     33780;         0;
        77;    1925,0;;     33714;     33781;         0;
        78;    1950,0;;     33714;     33781;         0;
        79;    1975,0;;     33714;     33781;         0;
        80;    2000,0;;     33714;     33781;         0;
        81;    2025,0;;     33714;     33781;         0;
        82;    2050,0;;     33714;     33781;         0;
        83;    2075,0;;     33714;     33781;         0;
        84;    2100,0;;     33714;     33781;         0;

Paramètre AXE :;Enrouleur HG
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

