FICHIER :;c:\Users\TEMP.B110-P06-2021\Desktop\Captures\01_BG.eposacq
Date :;25/02/2023
Heure :;07:24:56

DESCRIPTION :
ACQUISITION AXE 1 : Enrouleur BG
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 20.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     21376;     21376;         0;
         1;      20,0;;     21376;     21376;         0;
         2;      40,0;;     21376;     21376;         0;
         3;      60,0;;     21376;     21376;         0;
         4;      80,0;;     21376;     21376;         0;
         5;     100,0;;     21376;     21376;         0;
         6;     120,0;;     21376;     21376;         0;
         7;     140,0;;     21376;     21376;         0;
         8;     160,0;;     21382;     21376;         8;
         9;     180,0;;     21427;     21379;        25;
        10;     200,0;;     21518;     21493;        42;
        11;     220,0;;     21657;     21623;        59;
        12;     240,0;;     21841;     21808;        76;
        13;     260,0;;     22069;     22040;        89;
        14;     280,0;;     22317;     22295;        93;
        15;     300,0;;     22575;     22562;        96;
        16;     320,0;;     22842;     22828;        99;
        17;     340,0;;     23117;     23106;       102;
        18;     360,0;;     23401;     23393;       106;
        19;     380,0;;     23693;     23694;       108;
        20;     400,0;;     23993;     23985;       111;
        21;     420,0;;     24301;     24300;       114;
        22;     440,0;;     24616;     24607;       117;
        23;     460,0;;     24938;     24947;       119;
        24;     480,0;;     25267;     25255;       122;
        25;     500,0;;     25602;     25610;       124;
        26;     520,0;;     25943;     25938;       126;
        27;     540,0;;     26291;     26293;       128;
        28;     560,0;;     26644;     26644;       130;
        29;     580,0;;     27002;     26998;       132;
        30;     600,0;;     27366;     27373;       134;
        31;     620,0;;     27735;     27724;       136;
        32;     640,0;;     28109;     28124;       138;
        33;     660,0;;     28488;     28477;       140;
        34;     680,0;;     28872;     28873;       141;
        35;     700,0;;     29261;     29261;       143;
        36;     720,0;;     29653;     29654;       145;
        37;     740,0;;     30050;     30045;       146;
        38;     760,0;;     30451;     30466;       148;
        39;     780,0;;     30856;     30839;       149;
        40;     800,0;;     31264;     31288;       150;
        41;     820,0;;     31676;     31655;       151;
        42;     840,0;;     32090;     32112;       152;
        43;     860,0;;     32507;     32500;       153;
        44;     880,0;;     32927;     32928;       154;
        45;     900,0;;     33350;     33349;       155;
        46;     920,0;;     33775;     33781;       156;
        47;     940,0;;     34204;     34210;       157;
        48;     960,0;;     34635;     34643;       158;
        49;     980,0;;     35069;     35079;       159;
        50;    1000,0;;     35505;     35519;       160;
        51;    1020,0;;     35945;     35963;       161;
        52;    1040,0;;     36387;     36406;       162;
        53;    1060,0;;     36830;     36854;       163;
        54;    1080,0;;     37276;     37303;       163;
        55;    1100,0;;     37723;     37755;       164;
        56;    1120,0;;     38172;     38208;       165;
        57;    1140,0;;     38622;     38667;       165;
        58;    1160,0;;     39074;     39122;       166;
        59;    1180,0;;     39528;     39580;       167;
        60;    1200,0;;     39984;     40039;       167;
        61;    1220,0;;     40441;     40493;       168;
        62;    1240,0;;     40900;     40941;       169;
        63;    1260,0;;     41361;     41383;       169;
        64;    1280,0;;     41824;     41824;       170;
        65;    1300,0;;     42288;     42269;       170;
        66;    1320,0;;     42753;     42722;       170;
        67;    1340,0;;     43218;     43179;       171;
        68;    1360,0;;     43671;     43633;       154;
        69;    1380,0;;     44043;     44019;       118;
        70;    1400,0;;     44321;     44315;        84;
        71;    1420,0;;     44504;     44516;        50;
        72;    1440,0;;     44595;     44620;        15;
        73;    1460,0;;     44604;     44634;         0;
        74;    1480,0;;     44604;     44638;         0;
        75;    1500,0;;     44604;     44638;         0;
        76;    1520,0;;     44604;     44638;         0;
        77;    1540,0;;     44604;     44638;         0;
        78;    1560,0;;     44604;     44638;         0;
        79;    1580,0;;     44604;     44638;         0;
        80;    1600,0;;     44604;     44638;         0;
        81;    1620,0;;     44604;     44638;         0;
        82;    1640,0;;     44604;     44638;         0;
        83;    1660,0;;     44604;     44638;         0;
        84;    1680,0;;     44604;     44638;         0;

Paramètre AXE :;Enrouleur BG
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

